Recency,Frequency,Monetary,Is_Churn
225,1,77183.6,1
29,124,2790.86,0
148,28,1487.24,0
210,17,334.40000000000003,1
162,38,1561.81,0
104,4,89.0,1
132,58,1079.4,1
114,13,459.40000000000003,1
145,57,2753.08,0
50,12,484.86,0
89,143,3495.73,0
12,75,1618.28,0
187,10,189.9,1
20,105,1747.3500000000001,0
9,23,552.0,1
12,34,623.92,0
191,22,641.38,1
174,139,2806.41,0
112,39,914.9200000000001,0
211,14,364.6,1
215,77,1628.1200000000001,1
29,219,4008.62,1
70,20,459.84,0
85,36,607.5500000000001,0
19,62,1268.74,0
84,99,1850.56,1
21,14,292.69,0
237,10,401.9,1
48,70,1668.3400000000001,0
145,39,1061.1000000000001,0
117,21,381.08,0
12,96,1899.57,0
35,70,1214.81,0
19,59,1108.65,1
203,5,84.3,1
223,11,225.60000000000002,1
48,54,1710.39,1
83,49,1621.25,0
34,64,1407.36,0
75,65,1491.77,0
82,64,6207.08,0
208,26,693.33,1
37,45,890.74,0
136,28,563.9,0
117,18,562.4100000000001,1
13,591,99146.16,0
6,148,2816.52,0
12,34,668.58,1
14,36,628.5600000000001,0
68,31,655.86,0
0,108,1650.67,0
62,30,1760.96,1
94,30,582.73,1
271,10,303.5,0
20,279,7548.12,0
72,70,2844.88,0
19,185,4874.57,0
70,76,4016.66,0
266,147,3787.12,0
160,16,286.25,0
167,19,3978.9900000000002,0
77,88,2476.73,0
40,49,890.0699999999999,0
266,11,173.55,1
21,105,2627.27,0
143,26,476.49,1
29,87,1636.88,0
56,8,197.88,1
118,195,5307.82,0
34,43,707.09,1
27,71,2176.36,0
31,86,2265.4,0
133,25,1067.25,0
184,19,441.92,0
54,34,626.88,0
203,40,762.11,0
75,61,985.7900000000001,0
6,21,780.55,0
69,26,440.94,0
87,38,729.54,1
7,263,11116.4,0
38,249,4927.6,0
14,65,1186.25,0
37,221,3896.38,0
41,117,3191.67,0
0,199,8834.03,0
43,114,2144.95,0
79,157,4101.76,0
83,39,1314.6100000000001,0
0,282,3663.15,0
236,15,334.93,1
0,123,2516.77,0
5,9,126.39000000000001,0
65,22,433.74,1
61,51,868.86,0
6,32,1773.84,0
236,149,2169.39,1
27,108,2631.52,0
132,23,73.5,1
34,21,1304.81,1
184,7,176.5,1
42,33,982.5699999999999,1
12,35,612.29,1
167,51,1017.6800000000001,1
253,16,383.7,1
80,13,583.2,0
26,184,1538.7,0
10,18,324.83,0
42,121,2045.85,0
42,38,599.68,1
7,63,1017.75,0
62,116,3122.48,0
194,15,284.92,0
14,65,1287.37,0
23,46,1221.65,0
30,63,1089.18,1
86,18,371.45,0
162,230,4517.69,0
7,298,8786.87,0
73,28,536.14,0
159,34,628.15,0
97,8,207.8,1
66,5,95.19999999999999,1
257,10,168.0,1
10,135,2419.59,0
51,67,312.9,0
58,29,9000.960000000001,0
210,21,561.71,1
12,77,1436.31,0
202,16,238.85,1
26,78,1605.23,0
161,21,456.90000000000003,1
188,9,145.92000000000002,1
8,315,6958.16,0
7,79,1883.02,0
21,14,248.35,0
127,28,160.54000000000002,1
215,11,218.45000000000002,1
49,46,660.85,0
259,67,195.89,0
230,70,1608.66,0
146,24,415.7,1
138,22,511.36,1
6,146,4232.21,0
27,34,782.59,0
134,87,2040.1,1
44,10,131.5,0
111,68,9864.26,1
217,26,452.84999999999997,1
113,9,231.8,0
8,21,418.1,1
21,93,2529.9,0
142,15,269.95,0
83,78,1428.81,0
61,63,1584.38,0
26,48,857.04,0
12,49,1936.56,0
89,28,577.0600000000001,1
161,10,178.5,0
86,43,800.73,0
6,72,1256.25,0
97,74,1462.52,0
177,20,315.6,1
68,31,634.74,0
197,11,255.60000000000002,0
16,39,2087.46,0
104,33,561.66,0
0,346,10195.04,0
132,11,180.1,1
176,18,305.1,1
6,38,641.13,1
111,86,2683.82,1
12,206,4774.0,0
8,104,1908.57,0
29,86,1948.75,0
54,40,683.64,0
57,179,3054.1,0
138,22,486.1,1
15,10,185.9,1
7,24,366.45,0
28,24,3344.64,1
29,31,477.90999999999997,1
9,59,1310.8600000000001,0
26,92,2886.71,0
54,21,318.05,1
7,31,623.51,1
234,9,114.0,1
231,48,919.98,1
48,43,2209.85,1
97,22,337.75,0
16,69,2820.67,0
7,157,2653.66,0
43,18,1957.48,0
224,3,63.0,1
159,123,2924.4700000000003,0
50,101,2744.0299999999997,1
99,35,1026.39,0
229,10,225.9,1
226,23,220.9,0
70,37,976.8,0
23,30,998.05,0
0,93,8282.26,0
105,44,906.38,0
13,20,311.78,0
51,474,9866.58,0
0,355,8219.92,0
5,247,6217.88,0
70,58,1379.48,0
271,7,89.14,1
13,171,4873.81,1
27,34,511.03000000000003,0
105,16,389.01,1
45,21,556.3,0
27,39,855.91,1
83,20,439.5,0
7,19,333.9,0
31,29,733.91,0
56,122,2149.05,0
142,21,337.08000000000004,0
5,50,1100.92,0
58,206,4162.52,0
191,33,603.42,1
1,119,2031.77,0
35,121,6469.11,0
61,48,790.36,0
6,114,3913.08,0
6,191,3389.7,0
6,21,353.86,1
33,45,677.9,0
51,55,1030.98,1
24,216,3314.5,0
83,102,1698.91,0
14,50,929.65,0
73,18,280.36,0
271,24,427.8,1
84,67,1467.32,0
87,109,2800.4,0
157,33,617.31,0
13,26,453.01,1
44,179,11324.25,0
79,12,236.26000000000002,1
134,22,383.95,1
252,4,110.39999999999999,1
215,43,779.5699999999999,1
232,4,234.0,1
272,11,155.35,1
34,134,546.43,1
44,188,14211.970000000001,0
9,70,2769.4,0
1,1977,13568.55,0
30,128,2755.23,0
28,15,275.88,1
35,166,16620.91,0
135,63,3010.74,1
180,4,3811.9500000000003,1
42,122,5281.08,0
16,97,2791.59,1
71,66,1082.52,0
38,18,494.08,1
216,45,1693.88,1
49,227,4952.1900000000005,0
138,32,1143.6,1
110,12,1351.45,1
89,52,1164.68,0
83,31,492.06,0
89,104,2999.41,0
184,15,549.26,0
49,89,2078.67,0
264,14,311.95,1
92,8,158.1,0
92,21,324.92,1
273,2,192.60000000000002,1
156,25,400.54,1
234,24,545.48,1
265,13,254.03,1
70,6,1607.04,0
86,25,427.58,1
84,16,281.35,0
77,25,489.31,1
160,31,514.85,1
1,2,125.92,1
47,47,1063.46,1
76,15,318.65000000000003,0
181,4,166.04000000000002,1
161,14,1542.08,1
226,11,170.46,0
114,6,92.72,1
27,4,1224.0,0
78,56,818.62,0
12,21,338.2,0
236,11,293.0,1
34,27,5204.0,0
162,9,215.05,1
45,24,417.38,1
182,18,312.38,1
37,125,2112.53,0
73,12,134.1,1
273,59,390.79,0
13,157,2683.81,0
43,113,2726.77,1
6,297,2851.44,0
208,14,310.73,0
59,102,1692.31,0
30,28,174.88,0
167,27,354.09000000000003,1
168,36,704.5,0
194,17,311.55,1
34,78,1957.1000000000001,1
141,76,810.37,0
272,3,38.1,1
110,46,1106.4,1
38,3,147.12,1
23,58,981.38,0
183,26,559.12,1
65,343,2352.45,0
85,107,1607.0600000000002,1
107,4,132.0,0
226,66,599.97,1
182,4,374.0,1
43,2,343.2300000000001,1
96,34,726.43,0
24,73,1059.23,0
136,47,854.99,1
175,7,298.0,1
23,39,645.35,0
119,47,775.0,0
114,5,354.12,1
85,3,331.0,1
104,4,216.5,1
8,90,11639.470000000001,0
164,10,138.68,1
72,32,244.69,0
76,2,750.0,1
101,65,1528.37,0
34,36,1486.9,0
182,15,866.39,0
48,22,363.65,1
38,107,3006.15,1
28,2,594.0,1
16,16,441.65,0
30,424,8924.55,0
61,28,405.38,1
98,15,655.27,0
47,54,1136.14,0
211,8,117.85,1
71,14,221.56,0
1,60,32530.7,0
71,49,357.49,0
9,92,1535.34,0
97,28,428.23,0
38,31,7990.08,0
31,75,683.9,1
254,14,286.95,0
188,23,462.95,1
43,97,1603.99,1
5,85,1423.96,0
14,179,3449.42,0
73,45,751.78,0
43,64,1346.92,0
206,19,108.07,1
86,108,1715.29,0
13,11,170.54,0
265,16,365.8,0
258,19,1660.9,1
12,5,135.95,1
222,8,23.8,0
7,206,7854.76,0
97,8,144.8,1
111,22,738.6,1
56,9,39.239999999999995,1
57,20,7374.900000000001,1
33,11,187.18,0
142,28,390.54,1
97,14,304.3,0
192,92,535.32,1
57,26,4469.14,0
85,7,263.9,0
12,22,303.56,0
20,24,372.4,0
20,41,645.47,0
136,33,608.47,0
96,28,455.88,1
6,31,534.85,1
58,301,8615.42,0
218,7,120.95,1
5,6,149.05,1
14,270,3785.09,0
73,26,513.7,1
223,14,229.47,1
272,3,50.550000000000004,1
48,51,1012.3100000000001,0
7,162,3382.79,0
13,63,2022.48,0
97,88,1763.04,0
23,28,425.25,0
22,309,4788.85,0
66,58,1152.47,0
29,20,336.4,0
120,6,243.72000000000003,0
13,26,6912.0,1
38,7,773.1999999999999,0
268,60,427.74,0
257,11,190.55,1
269,11,165.86,0
160,12,333.0,0
38,48,881.07,1
83,22,591.76,0
173,13,516.42,1
191,33,560.47,1
166,14,197.72,0
27,140,2682.01,0
13,106,1375.05,0
218,7,153.78000000000003,0
6,326,4509.74,0
112,18,348.15000000000003,1
113,22,344.86,0
51,3,47.550000000000004,0
149,8,183.4,1
153,15,307.53000000000003,1
91,11,346.98,1
52,36,659.25,0
273,14,205.86,1
219,1,165.0,0
19,330,3397.94,0
92,9,228.8,1
166,7,177.15,1
29,22,919.61,1
190,63,577.44,0
6,254,6917.150000000001,0
40,1,23.8,0
79,6,58.08,1
43,752,18870.12,0
26,73,3613.63,1
57,22,416.08,1
0,1314,39010.65,0
36,76,4912.02,0
111,21,439.75,0
175,159,7832.47,1
29,20,1545.72,0
22,324,4643.71,0
